date,risk,cells_obs,cells_max,wtmp_anom,upwell_7d,wtmp,cells_recent,bloom_next7,c_wtmp_anom,c_upwell_7d,c_upwell_14d,c_sin_doy,c_cos_doy,c_cells_recent
2018-01-01,74.6,,,0.1477334943639299,3.123573080072917,21.517391304347825,5.90934257347,0,-0.015,-0.387,-0.142,-0.096,0.945,4.066
2018-01-02,73.8,242800.00000000003,464000.0,-0.8493055555555564,4.104383517896333,20.797916666666666,5.90934257347,0,0.208,-0.526,-0.233,-0.126,0.945,4.066
2018-01-03,69.5,450.0,500.0,-1.3809947299077692,5.452558796586546,20.15833333333333,5.90934257347,0,0.326,-0.717,-0.343,-0.156,0.944,4.066
2018-01-04,65.2,900.0,1000.0,-1.433084975347562,6.06207459628339,19.975,5.90934257347,0,0.338,-0.803,-0.434,-0.186,0.943,4.066
2018-01-05,62.9,900.0,1000.0,-1.481090341824039,6.176530107496078,19.50625,5.90934257347,0,0.348,-0.819,-0.497,-0.216,0.942,4.066
2018-01-06,60.6,,,-1.5450500345065592,6.349424060227761,18.93913043478261,5.90934257347,0,0.362,-0.843,-0.555,-0.246,0.941,4.066
2018-01-07,59.9,,,-2.049712301587302,6.618811396737781,18.4375,5.90934257347,0,0.475,-0.881,-0.626,-0.275,0.939,4.066
2018-01-08,62.4,0.0,1333.0,-2.226656746031747,6.189672983133117,18.227083333333333,5.90934257347,0,0.514,-0.821,-0.59,-0.305,0.937,4.066
2018-01-09,49.0,0.0,0.0,-1.998475241545897,4.7710087709704565,18.47391304347826,5.385250471091801,0,0.463,-0.62,-0.559,-0.335,0.934,3.371
2018-01-10,49.2,500.0,1500.0,-1.594628623188406,3.6918907865269897,18.86458333333333,5.385250471091801,0,0.374,-0.468,-0.578,-0.365,0.932,3.371
2018-01-11,51.5,0.0,0.0,-1.3116035353535338,2.604943454390642,18.99375,5.385250471091801,0,0.31,-0.314,-0.545,-0.394,0.929,3.371
2018-01-12,56.5,,,-1.027208909749671,1.1642409570817356,19.16590909090909,5.385250471091801,0,0.247,-0.111,-0.453,-0.424,0.926,3.371
2018-01-13,54.8,,,-0.9859420289855052,1.2394575162207688,19.147916666666667,5.385250471091801,0,0.238,-0.121,-0.47,-0.453,0.922,3.371
2018-01-14,51.8,,,-1.2674894323671495,1.8571093756196917,18.39565217391305,5.385250471091801,0,0.301,-0.208,-0.532,-0.482,0.919,3.371
2018-01-15,50.9,0.0,0.0,-2.135416666666668,2.9276656977587683,17.566666666666666,5.385250471091801,0,0.494,-0.36,-0.576,-0.511,0.915,3.371
2018-01-16,3.7,0.0,0.0,-2.1695371808143555,3.5539002095699948,17.575,2.954724790979063,0,0.502,-0.448,-0.521,-0.54,0.911,0.146
2018-01-17,3.6,0.0,0.0,-2.211236916264088,3.936806844883699,17.439583333333335,2.954724790979063,0,0.511,-0.502,-0.473,-0.569,0.906,0.146
2018-01-18,3.4,0.0,0.0,-2.897433473389356,5.219600141576791,16.8125,2.954724790979063,0,0.664,-0.684,-0.487,-0.598,0.901,0.146
2018-01-19,2.1,0.0,0.0,-3.006657608695648,6.332977862290788,16.51521739130435,2.699837725867246,0,0.688,-0.841,-0.464,-0.626,0.896,-0.192
2018-01-20,2.3,,,-3.116069664031624,5.9576987134733175,16.37708333333333,2.699837725867246,0,0.712,-0.788,-0.443,-0.655,0.891,-0.192
2018-01-21,2.4,,,-2.952413171570779,5.090469150018923,16.422916666666666,2.699837725867246,0,0.676,-0.665,-0.426,-0.683,0.886,-0.192
2018-01-22,2.7,0.0,0.0,-2.907979641131813,3.918159336313949,16.493750000000002,2.699837725867246,0,0.666,-0.5,-0.419,-0.711,0.88,-0.192
2018-01-23,2.7,0.0,0.0,-2.507757233708322,3.1810030340619013,16.856521739130436,2.699837725867246,0,0.577,-0.396,-0.411,-0.739,0.874,-0.192
2018-01-24,0.1,0.0,0.0,-2.832204794897873,3.4638168139134424,16.129166666666666,0.0,0,0.649,-0.436,-0.457,-0.766,0.867,-3.774
2018-01-25,0.1,0.0,0.0,-2.78103819330936,3.3560151268188467,16.0625,0.0,0,0.638,-0.42,-0.539,-0.794,0.861,-3.774
2018-01-26,0.1,0.0,0.0,-2.4354670899559885,3.201595693733545,16.4375,0.0,0,0.561,-0.398,-0.605,-0.821,0.854,-3.774
2018-01-27,0.1,,,-1.899348935226264,2.847508424114141,17.077083333333334,0.0,0,0.441,-0.348,-0.554,-0.848,0.847,-3.774
2018-01-28,0.1,,,-1.343707482993196,2.250401043708052,17.495833333333334,0.0,0,0.318,-0.264,-0.453,-0.874,0.84,-3.774
