date,lat,lon,LOCATION,cells,category
2018-02-02,27.64966,-82.921468,Bunces Pass; 11 mi W of,0,Background
2018-02-02,27.64966,-82.921468,Bunces Pass; 11 mi W of,0,Background
2018-02-02,27.64966,-82.84019,Bunces Pass; 5.8 mi W of,0,Background
2018-01-02,25.9733,-81.7275,Lee Avenue; docks NE of (Big Marco Pass),0,Background
2018-01-02,25.9124,-81.7171,Caxambas Park,0,Background
2018-01-02,25.9334,-81.6496,Goodland Bridge,0,Background
2018-01-02,25.9804,-81.7029,951 Boat Ramp (Big Marco Pass),0,Background
2018-01-02,26.4577,-81.9532,Matanzas Pass (Estero Bay),0,Background
2018-01-02,26.3936,-81.8655,Carl Johnson Park Boat Ramp (Estero Bay),0,Background
2018-01-02,26.4462,-81.9272,Mound House Dock (Estero Bay),0,Background
2018-01-02,26.43861,-81.84,Estero River; upstream,0,Background
2018-01-02,26.9092,-82.0953,Punta Gorda Boat Ramp (Charlotte Harbor),65667,Low
2018-01-02,26.7614,-82.0611,Burnt Store Marina (Charlotte Harbor),15333,Low
2018-01-03,26.30481,-81.8362,Barefoot Beach State Preserve,0,Background
2018-01-03,26.25375,-81.82377,Vanderbilt Beach,0,Background
2018-01-03,26.2073,-81.8169,Seagate,0,Background
2018-01-03,26.13163,-81.8063,Naples Pier,0,Background
2018-01-03,25.91165,-81.72805,South Marco Beach,0,Background
2018-01-02,26.92467,-82.36189,Englewood Beach,185535,Medium
2018-01-02,26.80562,-82.27415,Boca Grande Pier (Gasparilla Sound),185243,Medium
2018-01-02,27.677687,-82.678563,Sunshine Skyway Bridge; W of (Lower Tampa Bay),0,Background
2018-01-02,27.37317,-82.63202,Longboat Key Beach,0,Background
2018-01-02,27.32682,-82.56244,Ringling Causeway,1000,Very low
2018-01-02,27.31561,-82.58171,North Lido Beach,2000,Very low
2018-01-02,27.311,-82.57718,Lido Beach Casino,1000,Very low
2018-01-02,27.29818,-82.56739,South Lido Park,3000,Very low
2018-01-02,27.26518,-82.5531,Siesta Beach,7000,Very low
2018-01-02,27.21843,-82.51711,Turtle Beach,12000,Low
2018-01-02,27.12332,-82.47122,Nokomis Beach,36000,Low
2018-01-02,27.11382,-82.46883,North Jetty,51000,Low
2018-01-02,27.10034,-82.46089,Venice Beach,79000,Low
2018-01-02,27.0735,-82.4515,Venice Fishing Pier; N of,85000,Low
2018-01-02,27.06631,-82.448,Brohard Beach,235000,Medium
2018-02-02,27.64966,-82.84019,Bunces Pass; 5.8 mi W of,0,Background
2018-01-28,26.52542,-82.000728,Shell Point; N of (Caloosahatchee River),0,Background
2018-01-30,26.689099,-81.790833,Orange Harbor Boat Ramp (Orange River),0,Background
2018-02-05,26.816167,-82.2805,Gasparilla Pass,0,Background
2018-02-05,26.74065,-82.2145,Cayo Pelau; 2 mi S of (Charlotte Harbor),0,Background
2018-02-05,26.786021,-82.223062,Cayo Pelau; N of (Gasparilla Sound),0,Background
2018-02-05,26.782417,-82.209383,Bull Key; NW of (Bull Bay),0,Background
2018-02-05,26.798,-82.231,Sandfly Key; NE of (Gasparilla Sound),0,Background
2018-02-05,26.8164,-82.2526,Catfish Creek; mouth of (Gasparilla Sound),0,Background
2018-02-05,26.7117,-82.2583,Boca Grande Pass,0,Background
2018-02-05,26.6798,-82.2196,Mondongo Island; W of (Pine Island Sound),667,Background
2018-02-05,26.6092,-82.221,Captiva Pass,0,Background
2018-02-05,26.59925,-82.18463,Captiva Rocks; SW of (Pine Island Sound),0,Background
2018-02-05,26.5535,-82.1963,Redfish Pass (Pine Island Sound),0,Background
2018-02-05,26.560417,-82.170817,Redfish Pass; 1.8 mi E of (Pine Island Sound),0,Background
2018-02-05,26.532117,-82.15667,Buck Key; 1.9 mi NE of (Pine Island Sound),333,Background
2018-02-05,26.488,-82.1815,Buck Key; S of (Blind Pass),0,Background
2018-02-05,26.4887,-82.1073,York Island; W of (Pine Island Sound),667,Background
2018-02-05,26.538,-82.1257,Regla Island; W of (Pine Island Sound),0,Background
2018-02-05,26.5767,-82.1347,Cork Island; W of (Pine Island Sound),0,Background
2018-02-05,26.5902,-82.1561,Hemp Key; S of (Pine Island Sound),1667,Very low
2018-02-05,26.705,-82.1837,Little Bokeelia Island; N of (Charlotte Harbor),0,Background
2018-02-05,27.6133,-82.7391,Mullet Key; Gulf Pier,0,Background
2018-02-05,27.6055,-82.6508,Skyway Fishing Pier; South (Lower Tampa Bay),0,Background
2018-02-05,27.58512,-82.61482,Fletcher Point (Lower Tampa Bay),0,Background
2018-02-05,27.4959,-82.6522,Palma Sola Bay Bridge,0,Background
2018-02-05,27.44602,-82.68798,Longboat Pass Boat Ramp (Sarasota Bay),0,Background
2018-02-05,27.5385,-82.7402,Anna Maria Island Rod & Reel Pier (Lower Tampa Bay),0,Background
2018-01-02,27.05703,-82.4436,Caspersen Beach,261000,Medium
2018-01-02,27.01031,-82.41312,Manasota Beach,464000,Medium
2018-01-02,26.96324,-82.38565,Blind Pass Beach,577000,Medium
2018-01-07,26.645354,-82.050374,Ceitus Parkway; canal N of,0,Background
2018-01-04,26.960269,-82.227554,Gallagher Boulevard; N of (Myakka River),667,Background
2018-01-07,26.627314,-82.070093,Matlacha Community Park Boat Ramp (Matlacha Pass),118000,Medium
2018-01-07,26.832809,-82.269683,Placida Park Boat Ramp (Placida Harbor),61000,Low
2018-01-08,27.6133,-82.7391,Mullet Key; Gulf Pier,0,Background
2018-01-08,27.6055,-82.6508,Skyway Fishing Pier; South (Lower Tampa Bay),0,Background
2018-01-08,27.58512,-82.61482,Fletcher Point (Lower Tampa Bay),0,Background
2018-01-08,27.4959,-82.6522,Palma Sola Bay Bridge,0,Background
2018-01-08,27.44602,-82.68798,Longboat Pass Boat Ramp (Sarasota Bay),0,Background
2018-01-08,27.5385,-82.7402,Anna Maria Island Rod & Reel Pier (Lower Tampa Bay),0,Background
2018-01-08,26.816167,-82.2805,Gasparilla Pass,16333,Low
2018-01-08,26.7117,-82.2583,Boca Grande Pass,17667,Low
2018-01-08,26.74065,-82.2145,Cayo Pelau; 2 mi S of (Charlotte Harbor),429640,Medium
2018-01-08,26.786021,-82.223062,Cayo Pelau; N of (Gasparilla Sound),14000,Low
2018-01-08,26.782417,-82.209383,Bull Key; NW of (Bull Bay),275000,Medium
2018-01-08,26.798,-82.231,Sandfly Key; NE of (Gasparilla Sound),127667,Medium
2018-01-08,26.8164,-82.2526,Catfish Creek; mouth of (Gasparilla Sound),32000,Low
2018-01-08,26.538,-82.1257,Regla Island; W of (Pine Island Sound),54333,Low
2018-01-08,26.5767,-82.1347,Cork Island; W of (Pine Island Sound),173000,Medium
2018-01-08,26.5902,-82.1561,Hemp Key; S of (Pine Island Sound),128390,Medium
2018-01-08,26.560417,-82.170817,Redfish Pass; 1.8 mi E of (Pine Island Sound),636677,Medium
2018-01-08,26.532117,-82.15667,Buck Key; 1.9 mi NE of (Pine Island Sound),202367,Medium
2018-01-08,26.59925,-82.18463,Captiva Rocks; SW of (Pine Island Sound),82333,Low
2018-01-08,26.30481,-81.8362,Barefoot Beach State Preserve,0,Background
2018-01-08,26.25375,-81.82377,Vanderbilt Beach,0,Background
2018-01-08,26.2073,-81.8169,Seagate,0,Background
2018-01-08,26.13163,-81.8063,Naples Pier,0,Background
2018-01-08,25.91165,-81.72805,South Marco Beach,0,Background
2018-01-06,26.645533,-82.051,Ceitus Parkway; canal N of,0,Background
2018-01-08,27.11214,-82.46975,Venice South Jetty,1333,Very low
2018-01-08,27.0726,-82.4529,Venice Fishing Pier,0,Background
2018-01-08,27.37317,-82.63202,Longboat Key Beach,0,Background
2018-01-08,27.32682,-82.56244,Ringling Causeway,0,Background
2018-01-08,27.31561,-82.58171,North Lido Beach,0,Background
2018-01-08,27.311,-82.57718,Lido Beach Casino,0,Background
2018-01-08,27.29818,-82.56739,South Lido Park,0,Background
2018-01-08,27.26518,-82.5531,Siesta Beach,0,Background
2018-01-08,27.21843,-82.51711,Turtle Beach,0,Background
2018-01-08,27.12332,-82.47122,Nokomis Beach,0,Background
2018-01-08,27.11382,-82.46883,North Jetty,0,Background
2018-01-08,27.10034,-82.46089,Venice Beach,0,Background
2018-01-08,27.07827,-82.45286,Service Club Park,1000,Very low
2018-01-08,27.0735,-82.4515,Venice Fishing Pier; N of,0,Background
2018-01-08,27.06631,-82.448,Brohard Beach,0,Background
2018-01-08,27.05703,-82.4436,Caspersen Beach,0,Background
2018-01-08,27.01031,-82.41312,Manasota Beach,0,Background
2018-01-08,26.96324,-82.38565,Blind Pass Beach,1000,Very low
2018-01-09,26.5857,-82.0645,McCardle Island; SW of (Matlacha Pass),116823,Medium
2018-01-09,26.59893,-82.06238,McCardle Island; NW of (Matlacha Pass),134173,Medium
2018-01-09,26.500278,-82.0475,Merwin Key; W of (San Carlos Bay),3333,Very low
2018-01-09,26.7003,-82.1208,Jug Creek Point; E of (Matlacha Pass),1307600,High (closure)
2018-01-09,27.4362,-82.69012,North Shore Road Pier,0,Background
2018-01-09,27.4003,-82.6515,Atlas Street; W of,0,Background
2018-01-09,27.3225,-82.5803,St. Armands Key; N of (Pansy Bayou),0,Background
2018-01-09,27.3324,-82.5462,Marina Jack (Sarasota Bay),0,Background
2018-01-09,26.43494,-81.91138,Estero Island (Estero Bay),0,Background
2018-01-09,26.38591,-81.84631,Long Key (Estero Bay),0,Background
2018-01-09,26.35497,-81.84452,Bonita Beach (Estero Bay),0,Background
2018-01-09,26.6678,-82.0946,Ben Coleman Keys (Matlacha Pass),103740,Medium
2018-01-09,26.5627,-82.0704,Deer Stop Keys; SW of (Matlacha Pass),25667,Low
2018-01-09,26.625,-82.0742,Porpoise Point Island; SW of (Matlacha Pass),163450,Medium
2018-01-10,27.3316,-82.5779,Bay Dock (Sarasota Bay),0,Background
2018-01-10,27.33375,-82.57938,New Pass Dock (Sarasota Bay),0,Background
2018-01-08,26.4846,-82.0106,Punta Rassa Boat Ramp (San Carlos Bay),0,Background
2018-01-10,27.51477,-82.68395,Mead Point (Lower Tampa Bay),0,Background
2018-01-10,27.529833,-82.704,School Key; NE of (Lower Tampa Bay),0,Background
2018-01-10,27.59275,-82.629067,South Skyway Causeway; NE end of (Lower Tampa Bay),0,Background
2018-01-10,27.587433,-82.61895,South Skyway Rest Area; NW of (Lower Tampa Bay),0,Background
2018-01-10,27.632617,-82.5782,Little Redfish Creek; 1.1 mi NW of (Lower Tampa Bay),0,Background
2018-01-10,27.595514,-82.5912,Joe Island; N of (Lower Tampa Bay),0,Background
2018-01-10,27.591656,-82.586951,Two Brothers Islands; SW of (Lower Tampa Bay),0,Background
2018-01-10,26.5264,-82.1945,Alison Hagerup Beach Park,26000,Low
2018-01-10,26.4217,-82.0801,Tarpon Bay Road Beach,5000,Very low
2018-01-10,26.45157,-82.01543,Lighthouse Beach,3667,Very low
2018-01-10,26.45398,-81.95776,Lynn Hall Park,0,Background
2018-01-10,26.3901,-81.8795,Lovers Key State Park,0,Background
2018-01-10,26.33105,-81.84574,Bonita Beach Park,0,Background
2018-02-05,27.37317,-82.63202,Longboat Key Beach,0,Background
2018-02-05,27.32682,-82.56244,Ringling Causeway,0,Background
2018-02-05,27.31561,-82.58171,North Lido Beach,0,Background
2018-02-05,27.311,-82.57718,Lido Beach Casino,0,Background
2018-02-05,27.29818,-82.56739,South Lido Park,0,Background
2018-02-05,27.26518,-82.5531,Siesta Beach,0,Background
2018-02-05,27.21843,-82.51711,Turtle Beach,0,Background
